Molecula,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,nm_R1,R1,Rmax,nm_Rmax,Rmin,nm_Rmin,e1,m1,g1,gmax1,gmax,gmaxmax,gmin,gminmin
6Heliceno_2-CN_10-CN_14-F.log,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.06,0.0,0.0,398.58,8.929,547.0179,351.51,-402.7509,250.77,1.63,0.58,0.00135,0.014249386,0.0101,0.029438867,-0.00676,0.010559462
6Heliceno_1-CP_2-CC_5-CC.log,0.16,0.23,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.83,3.8511,468.6216,371.66,-240.4518,328.29,1.07,0.633,0.00135,0.023631944,0.0235,0.037249128,-0.00592,0.00867228
6Heliceno_6-SH_10-NH2_12-OMe_15-SH.log,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,-0.66,0.0,-0.27,0.0,0.0,0.15,0.0,411.62,27.9524,547.3263,355.73,-373.5058,254.68,2.88,1.01,0.00135,0.014047656,0.0106,0.027453319,-0.0121,0.012337322
6Heliceno_1-OMe_4-CN_7-OMe_11-F_15-OMe.log,-0.27,0.0,0.0,0.66,0.0,0.0,-0.27,0.0,0.0,0.0,0.06,0.0,0.0,0.0,-0.27,0.0,433.72,21.8231,201.7177,342.66,-196.7731,264.12,2.54,0.712,0.00135,0.011202417,0.0365,0.049712151,-0.0042,0.008088077
6Heliceno_1-CHO_5-COOH_6-NO2_11-NO2_12-CHO.log,0.42,0.0,0.0,0.0,0.45,0.78,0.0,0.0,0.0,0.0,0.78,0.42,0.0,0.0,0.0,0.0,422.84,19.1352,217.3863,392.56,-57.474,321.52,2.39,1.01,0.00135,0.016979416,0.00893,0.027522016,-0.00394,0.007463449
6Heliceno_1-CHO_5-COOH_6-NO2_11-NO2_12-CHO.log,0.42,0.0,0.0,0.0,0.45,0.78,0.0,0.0,0.0,0.0,0.78,0.42,0.0,0.0,0.0,0.0,422.84,19.1352,217.3863,392.56,-57.474,321.52,2.39,1.01,0.00135,0.016979416,0.00893,0.027522016,-0.00394,0.007463449
6Heliceno_5-CN_10-CHO_14-COOH_15-COOH_16-COOH.log,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.45,0.45,0.45,438.14,15.5604,123.4922,356.45,-232.8055,270.37,2.15,0.832,0.00135,0.015467156,0.0147,0.035768499,-0.00584,0.006957425
6Heliceno_4-CHO_5-NO2_6-CHO_7-CN_8-CHO_12-NO2.log,0.0,0.0,0.0,0.42,0.78,0.42,0.66,0.42,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,470.31,37.0722,58.4437,404.06,-171.2654,316.92,3.31,1.07,0.00135,0.012943063,0.00566,0.024239011,-0.00679,0.013104872
6Heliceno_2-CHO_5-CHO_8-COOH_10-NO2_11-CN_16-CN.log,0.0,0.42,0.0,0.0,0.42,0.0,0.0,0.45,0.0,0.78,0.66,0.0,0.0,0.0,0.0,0.66,425.91,14.7212,278.8664,369.14,-393.6622,287.98,2.09,0.643,0.00135,0.012299406,0.0106,0.030299902,-0.0141,0.01606257
6Heliceno_1-OH_2-Cl_6-CHO_8-F_9-COOH_12-OMe.log,-0.37,0.227,0.0,0.0,0.0,0.42,0.0,0.06,0.45,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,436.86,4.1324,160.2324,358.78,-204.2385,321.13,1.11,0.372,0.00135,0.013413313,0.0285,0.043009332,-0.00229,0.005913738
6Heliceno_1-SMe_2-OH.log,0.001,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.28,7.8096,612.493,356.1,-158.467,259.32,1.53,0.908,0.00134,0.023823648,0.00964,0.031402798,-0.00621,0.010521115
6Heliceno_5-OMe_3-SMe_9-SMe.log,0.0,0.0,0.001,0.0,-0.27,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.69,4.6176,615.1187,352.63,-672.3965,275.31,1.17,0.347,0.00134,0.011817914,0.0114,0.024683634,-0.0047,0.005827381
6Heliceno_6-F_13-F_15-F.log,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,379.5,7.0871,621.2425,341.68,-233.9955,243.16,1.45,0.577,0.00134,0.015881426,0.0102,0.026718436,-0.0039,0.004235069
6Heliceno_11-NH2_8-OMe_14-OMe_12-OMe.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,-0.66,-0.27,0.0,-0.27,0.0,0.0,408.03,6.1601,425.3223,367.11,-460.3054,266.41,1.35,0.495,0.00134,0.014635636,0.00771,0.02298805,-0.00854,0.009124459
6Heliceno_9-OH_11-OH_12-SH_16-OMe.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.0,-0.37,0.15,0.0,0.0,0.0,-0.27,396.74,3.9377,370.9091,363.19,-249.4874,270.25,1.09,0.251,0.00134,0.009251861,0.00741,0.025855611,-0.00634,0.006364715
6Heliceno_1-F_4-CN_6-F_11-CC_13-F.log,0.06,0.0,0.0,0.66,0.0,0.06,0.0,0.0,0.0,0.0,0.23,0.0,0.06,0.0,0.0,0.0,393.13,5.1134,385.5703,360.26,-194.9782,252.77,1.24,0.429,0.00134,0.01387284,0.00794,0.025530772,-0.00811,0.009785944
6Heliceno_1-CN_3-CC_6-OMe_8-CN_16-F.log,0.66,0.0,0.23,0.0,0.0,-0.27,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,432.59,36.8371,277.5752,355.57,-435.9762,275.99,3.32,1.18,0.00134,0.014212976,0.0248,0.036816108,-0.00529,0.007193248
6Heliceno_1-cloro_3-yodo_5-bromo_7-fluor_12-yodo_15-fluor.log,0.227,0.0,0.18,0.0,0.232,0.0,0.06,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.06,0.0,409.1,15.7398,314.1479,367.55,-267.8973,273.35,2.17,1.0,0.00134,0.018537877,0.00395,0.02605363,-0.00513,0.005405359
6Heliceno_4-CN_7-Cl_9-CP_13-OMe_14-Br_16-NO2.log,0.0,0.0,0.0,0.66,0.0,0.0,0.227,0.0,0.16,0.0,0.0,0.0,-0.27,0.232,0.0,0.78,466.24,43.567,299.6657,367.61,-146.165,343.63,3.6,1.3,0.00134,0.014462683,0.00469,0.019702779,-0.007,0.010104114
6Heliceno_3-CHO_4-CN_6-Br_7-Cl_14-NO2.log,0.0,0.0,0.42,0.66,0.0,0.232,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,432.16,26.7253,261.1337,386.61,-191.3532,283.32,2.82,0.865,0.00134,0.012269145,0.0133,0.027899348,-0.0145,0.015119653
