Molecula,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,nm_R1,R1,Rmax,nm_Rmax,Rmin,nm_Rmin,e1,m1,g1,gmax1,gmax,gmaxmax,gmin,gminmin
6Heliceno_1-OH_3-SH_6-SH.log,-0.37,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.53,0.2388,579.099,363.49,-156.1912,275.84,0.0158,0.253,0.379,0.625244074,0.00649,0.023768235,-0.00233,0.002493496
6Heliceno_4-OH_10-F_13-Br_16-NO2.log,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.232,0.0,0.0,0.78,498.37,15.5581,287.6745,366.02,-181.8539,291.17,0.208,0.775,0.144,0.148997645,0.00794,0.027790241,-0.00525,0.009562821
6Heliceno_2-cloro_3-cloro_8-fluor_16-fluor_14-fluor_1-bromo.log,0.232,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,393.81,1.8697,594.6901,359.24,-331.9738,275.61,0.0728,0.293,0.141,0.160717334,0.00785,0.031483537,-0.00567,0.008860507
6Heliceno_1-fluor_3-fluor_9-fluor_14-cloro_15-cloro_16-bromo.log,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.227,0.227,0.232,393.82,1.8708,594.5438,359.24,-331.2468,275.59,0.0729,0.293,0.141,0.160579398,0.00785,0.031484378,-0.00566,0.008860242
6Heliceno_1-bromo_2-cloro_3-cloro_8-fluor_14-fluor_16-fluor.log,0.232,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,393.81,1.8664,594.2075,359.22,-330.7383,275.61,0.0731,0.293,0.139,0.160090089,0.00785,0.031486808,-0.00566,0.008863761
6Heliceno_5-CC_10-CP_11-NO2_15-NO2.log,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.16,0.78,0.0,0.0,0.0,0.78,0.0,911.87,15.7687,48.1029,465.25,-17.9475,401.5,0.22,1.1,0.13,0.198826067,0.0029,0.017533957,-0.00167,0.003949623
6Heliceno_1-NO2_2-NO2_7-CN.log,0.78,0.78,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.47,11.0363,164.2326,378.96,-99.5423,289.19,0.197,0.623,0.114,0.126232446,0.00745,0.021935647,-0.0163,0.032191348
6Heliceno_1-F_7-SH_8-CHO_11-NO2_16-NO2.log,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.42,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78,446.53,3.296,90.1205,427.37,-144.1678,330.21,0.108,0.412,0.113,0.152502775,0.0068,0.023800014,-0.00583,0.008891627
6Heliceno_1-fluor_2-fluor_3-bromo_4-yodo_5-yodo_6-fluor.log,0.06,0.06,0.232,0.18,0.18,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.49,2.3227,90.3781,331.84,-63.1994,307.52,0.0912,0.317,0.112,0.13896427,0.0131,0.028197669,-0.00529,0.006195591
6Heliceno_1-NO2_6-NO2_9-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.62,42.3611,92.9138,404.71,-78.8774,301.69,0.397,1.11,0.108,0.112000088,0.0208,0.031102335,-0.00293,0.005530059
6Heliceno_6-CN_1-NO2_5-COOH_10-COOH.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,450.34,32.1345,291.8831,358.91,-213.761,307.93,0.346,1.0,0.107,0.115956194,0.0159,0.029620175,-0.00345,0.010255671
6Heliceno_1-NO2_10-COOH_5-COOH_6-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,450.33,32.1065,292.0169,358.91,-213.7905,307.93,0.346,1.0,0.107,0.115911499,0.016,0.029727769,-0.00346,0.010256474
6Heliceno_1-OH_13-CHO_14-NO2_15-OMe.log,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.78,-0.27,0.0,885.62,31.3213,469.1699,345.91,-118.4815,333.31,0.345,1.31,0.105,0.151232925,0.0195,0.031697781,-0.00643,0.007375787
6Heliceno_1-NO2_6-NO2_9-CN.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.93,46.8915,103.7543,397.94,-101.2264,304.38,0.429,1.11,0.102,0.103335745,0.0366,0.040840201,-0.00329,0.003887954
6Heliceno_1-NO2_6-NO2_9-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.58,36.5569,148.325,393.05,-201.4038,304.28,0.387,1.05,0.0975,0.10814619,0.00736,0.020062087,-0.00392,0.00552335
6Heliceno_6-CN_1-NO2_5-COOH_9-CHO.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.6,39.6866,86.0533,407.36,-144.8498,283.93,0.406,1.07,0.0962,0.104869239,0.0176,0.028028477,-0.00721,0.009558585
6Heliceno_1-NO2_6-NO2.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.49,33.2803,100.5585,367.62,-57.978,308.75,0.378,1.01,0.0932,0.106535165,0.00907,0.025060259,-0.00322,0.004880357
6Heliceno_1-bromo_2-bromo_3-cloro_8-fluor_14-fluor.log,0.232,0.232,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,396.54,2.565,541.5494,368.02,-332.3707,282.99,0.106,0.382,0.0915,0.144237545,0.0164,0.037175949,-0.00438,0.008349099
6Heliceno_4-COOH_5-CHO_7-COOH_11-CN_13-COOH_16-NO2.log,0.0,0.0,0.0,0.45,0.42,0.0,0.45,0.0,0.0,0.0,0.66,0.0,0.45,0.0,0.0,0.78,442.15,39.9931,302.2046,366.27,-260.3999,292.01,0.42,1.04,0.0908,0.099352796,0.00578,0.025034542,-0.00855,0.009421463
6Heliceno_1-NO2_6-CN_9-CN.log,0.78,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.33,55.7429,233.6537,366.17,-184.9146,344.84,0.504,1.14,0.0876,0.090424555,0.00645,0.02107857,-0.0101,0.010160165
6Heliceno_2-cloro_3-cloro_8-fluor_16-fluor_14-fluor_1-fluor.log,0.06,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,387.48,1.6811,556.5568,351.68,-202.606,249.5,0.0884,0.234,0.086,0.105741383,0.00801,0.02896691,-0.00265,0.002771991
6Heliceno_11-CN_12-COOH_5-COOH_16-NO2.log,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.66,0.45,0.0,0.0,0.0,0.78,441.03,40.0254,176.412,366.27,-172.26,299.87,0.434,1.0,0.0851,0.092226204,0.00341,0.019465142,-0.00286,0.005360033
6Heliceno_14-fluor_3-cloro_2-cloro_16-fluor_8-fluor.log,0.0,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,383.22,2.7099,584.7514,347.4,-269.6161,254.79,0.113,0.262,0.0851,0.093018198,0.00781,0.028928066,-0.00505,0.00688405
6Heliceno_1-fluor_3-fluor_9-fluor_12-yodo_15-cloro.log,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.18,0.0,0.0,0.227,0.0,386.37,1.4096,487.6635,353.22,-48.5038,324.19,0.0815,0.265,0.0848,0.13003496,0.00536,0.024085553,-0.00378,0.018567277
6Heliceno_6-CN_1-NO2_5-COOH_14-CHO.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,443.51,58.2349,164.934,403.42,-144.3175,284.24,0.526,1.11,0.0841,0.084496871,0.0111,0.025414773,-0.00382,0.012104668
6Heliceno_2-cloro_5-yodo_8-fluor_14-fluor_16-fluor.log,0.0,0.227,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,386.36,1.4165,487.0229,353.22,-274.3352,253.74,0.0821,0.266,0.0841,0.129329504,0.00534,0.024075148,-0.00553,0.01202624
6Heliceno_1-NO2_6-NO2_14-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,446.67,62.5077,118.9121,346.41,-123.7534,302.39,0.548,1.17,0.0832,0.085041797,0.0154,0.031512444,-0.00487,0.005821255
6Heliceno_1-NO2_5-COOH_10-CN.log,0.78,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,435.83,62.0615,242.7174,354.06,-149.4625,322.02,0.546,1.14,0.0832,0.083444758,0.0324,0.035638163,-0.00752,0.008520751
6Heliceno_4-CH3_11-CN_15-COOH_16-NO2.log,0.0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.45,0.78,516.1,10.7173,152.288,372.06,-149.9742,272.64,0.228,0.866,0.0824,0.151555219,0.00144,0.024531657,-0.00576,0.011419371
6Heliceno_1-NO2_5-COOH_7-COOH.log,0.78,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.09,50.4893,391.6061,362.74,-230.8093,346.32,0.497,1.07,0.0817,0.085719532,0.00592,0.021914891,-0.0105,0.01088777
6Heliceno_5-CN_11-NO2_12-COOH_16-NO2.log,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.78,0.45,0.0,0.0,0.0,0.78,428.84,41.5626,225.9156,351.98,-118.4062,346.06,0.455,0.97,0.0803,0.085289425,0.0236,0.035712369,-0.00362,0.010861704
6Heliceno_3-Br_5-OMe_13-Cl_16-NO2.log,0.0,0.0,0.232,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.78,471.11,52.8943,137.3995,375.17,-207.3482,329.55,0.516,1.09,0.0796,0.084675399,0.0268,0.040055052,-0.00704,0.009019444
6Heliceno_3-COOH_7-NO2_4-CHO_1-NO2.log,0.78,0.0,0.45,0.42,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.38,17.7453,51.0875,363.73,-43.656,333.83,0.3,0.743,0.079,0.099165256,0.00581,0.019617292,-0.00245,0.002667042
6Heliceno_1-NO2_2-NO2_7-NO2_16-NO2.log,0.78,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,461.92,69.6319,100.4472,420.77,-117.0038,332.27,0.594,1.2,0.0788,0.080442126,0.0217,0.030386518,-0.0049,0.005252767
6Heliceno_1-NO2_6-NO2_10-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,455.93,46.2248,234.673,353.7,-164.0035,319.01,0.485,1.12,0.0787,0.092532963,0.0357,0.036619821,-0.00895,0.01136057
6Heliceno_4-NH2_14-CC_16-NO2.log,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.78,535.3,12.0958,258.6161,327.44,-181.3301,283.68,0.248,0.659,0.0784,0.106129549,0.00298,0.018446407,-0.0121,0.016507979
6Heliceno_1-NO2_6-NO2_11-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,450.82,58.872,233.64,350.7,-241.5089,333.01,0.55,1.1,0.0779,0.07987845,0.0377,0.037953237,-0.00377,0.008996918
6Heliceno_1-NO2_6-NO2_15-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,446.72,59.8873,181.3993,378.66,-245.5117,331.87,0.562,1.15,0.0759,0.081655151,0.0207,0.032418807,-0.00625,0.010085158
6Heliceno_1-NO2_6-COOH_14-F_15-CH3.log,0.78,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.17,0.0,461.66,41.6986,266.1049,361.03,-208.0212,276.28,0.471,1.02,0.0751,0.086439427,0.031,0.034970044,-0.0142,0.016434193
6Heliceno_5-CHO_6-CN_9-COOH_11-CN_13-CN_16-NO2.log,0.0,0.0,0.0,0.0,0.42,0.66,0.0,0.0,0.45,0.0,0.66,0.0,0.66,0.0,0.0,0.78,463.84,4.8869,210.2988,385.69,-90.7541,306.46,0.161,0.528,0.075,0.130553418,0.0113,0.024037907,-0.0026,0.007447255
6Heliceno_3-CN_7-CN_11-CHO_15-COOH_16-NO2.log,0.0,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.45,0.78,463.63,61.9846,175.3702,332.53,-182.074,303.71,0.577,1.13,0.0744,0.078362708,0.0243,0.034261671,-0.00457,0.006370947
6Heliceno_3-CN_7-CN_11-CHO_15-COOH_16-NO2.log,0.0,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.45,0.78,463.63,61.9846,175.3702,332.53,-182.074,303.71,0.577,1.13,0.0744,0.078362708,0.0243,0.034261671,-0.00457,0.006370947
6Heliceno_6-COOH_4-COOH_14-COOH_16-NO2_15-CN_10-CN.log,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.45,0.66,0.78,452.77,12.4703,365.6345,370.93,-229.2332,285.78,0.26,0.545,0.0738,0.083854215,0.0119,0.030349363,-0.00433,0.00923344
6Heliceno_1-NO2_6-NO2_14-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,444.47,80.0082,138.585,345.06,-121.9418,303.67,0.66,1.22,0.0734,0.074113677,0.0214,0.031853655,-0.00448,0.008815914
6Heliceno_1-NO2_6-NO2_15-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,446.08,55.8252,203.2238,349.64,-273.0991,331.59,0.551,1.1,0.0734,0.080086966,0.0251,0.035107951,-0.00463,0.015702001
6Heliceno_1-NO2_6-NO2_14-CN.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,441.23,78.6034,115.2543,402.26,-113.3463,300.43,0.657,1.22,0.0729,0.07427071,0.0256,0.029535552,-0.00548,0.007251855
6Heliceno_1-NO2_6-NO2_13-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,446.15,48.9883,138.2091,344.47,-112.3969,329.45,0.522,1.14,0.0718,0.086874636,0.0312,0.038989372,-0.00241,0.016752063
6Heliceno_1-NO2_16-NO2_5-COOH_6-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,456.68,125.5169,181.1274,353.94,-233.0697,289.32,0.837,1.5,0.0717,0.071711474,0.00572,0.025081929,-0.0142,0.015220352
6Heliceno_1-NO2_5-COOH_6-NO2_15-NO2.log,0.78,0.0,0.0,0.0,0.45,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,427.08,74.1211,227.6702,391.53,-197.1197,310.26,0.644,1.17,0.0715,0.072415057,0.0208,0.032679561,-0.0076,0.009086177
6Heliceno_1-CHO_16-COOH_7-CHO_4-COOH.log,0.42,0.0,0.0,0.45,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,414.28,23.8755,250.1589,365.45,-137.0909,275.4,0.366,0.813,0.0714,0.08895743,0.0118,0.025324022,-0.0119,0.012520117
6Heliceno_1-NO2_6-NO2_16-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,459.84,73.5176,122.0028,338.12,-151.5374,319.92,0.643,1.29,0.0711,0.080375645,0.0276,0.044101914,-0.00631,0.013616994
6Heliceno_6-CN_1-NO2_5-COOH_12-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,431.61,52.068,205.9335,366.92,-166.0745,287.09,0.544,1.06,0.0703,0.07769565,0.00353,0.019096141,-0.02,0.022524147
6Heliceno_10-COOH_16-NO2.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.78,448.91,64.5141,439.529,356.93,-202.3747,334.87,0.607,1.1,0.07,0.072562473,0.0221,0.032278907,-0.00577,0.007091014
6Heliceno_1-NO2_6-NO2_15-CN.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,440.22,68.1678,180.9667,344.98,-226.0604,329.24,0.625,1.19,0.0698,0.075900783,0.0292,0.03595864,-0.00419,0.016873676
6Heliceno_4-SH_6-CH3_10-OMe_16-NO2.log,0.0,0.0,0.0,0.15,0.0,-0.17,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.78,492.92,6.7505,319.7457,360.31,-234.401,278.44,0.197,0.774,0.0697,0.157074369,0.0102,0.024719979,-0.00976,0.013063646
6Heliceno_1-NO2_4-CHO_7-NO2_3-CN.log,0.78,0.0,0.66,0.42,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.22,24.1385,101.8229,367.71,-77.5488,372.97,0.374,0.771,0.069,0.082430168,0.00652,0.018614401,-0.0029,0.020406213
6Heliceno_1-NO2_16-CHO_5-COOH_6-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,446.82,89.2516,173.1839,415.99,-326.8451,283.69,0.72,1.31,0.0689,0.072884627,0.0106,0.030137273,-0.0113,0.012807456
6Heliceno_1-NO2_8-COOH_9-Br_13-CP_14-SH.log,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.232,0.0,0.0,0.0,0.16,0.15,0.0,0.0,475.04,20.3928,162.3663,352.66,-189.5072,292.12,0.346,0.616,0.0681,0.071208029,0.0109,0.017505103,-0.00409,0.009880331
6Heliceno_1-NO2_6-NO2_16-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,458.82,70.3756,148.5629,343.5,-120.1959,319.67,0.647,1.29,0.0672,0.079937304,0.0269,0.036662951,-0.0039,0.015489483
6Heliceno_1-NO2_5-COOH_6-NO2_16-NO2.log,0.78,0.0,0.0,0.0,0.45,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,453.16,123.5516,123.1314,343.54,-152.2706,324.81,0.859,1.5,0.067,0.070073514,0.0067,0.029030836,-0.0116,0.012755751
6Heliceno_6-CN_1-NO2_5-COOH_16-CN.log,0.78,0.0,0.0,0.0,0.45,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,443.05,75.9597,178.0335,401.29,-232.6305,281.58,0.682,1.24,0.0653,0.072417065,0.00956,0.027537222,-0.00536,0.011491724
6Heliceno_1-NO2_2-NO2_7-CHO.log,0.78,0.78,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.6,11.4066,190.4496,385.57,-81.8134,327.62,0.265,0.572,0.065,0.086377205,0.00892,0.022966395,-0.00319,0.00449968
6Heliceno_1-NO2_6-NO2_7-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.02,38.4535,200.9839,353.14,-218.8171,323.04,0.488,1.1,0.0645,0.09030982,0.0432,0.044879383,-0.00733,0.008075432
6Heliceno_1-NO2_6-NO2_16-NO2.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,463.98,133.3609,109.2215,358.3,-141.5176,317.03,0.909,1.49,0.0645,0.065351846,0.0105,0.027754063,-0.0048,0.016045607
6Heliceno_1-NO2_6-NO2_13-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,444.18,53.4656,129.3782,345.49,-222.9527,332.03,0.576,1.12,0.0645,0.077943836,0.0291,0.04141019,-0.00415,0.0106963
6Heliceno_1-NO2_2-CH3_6-CN_7-SH.log,0.78,-0.17,0.0,0.0,0.0,0.66,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.93,42.3679,390.4657,368.28,-205.5438,297.96,0.513,1.01,0.0643,0.078671034,0.00685,0.024725797,-0.00506,0.005985601
6Heliceno_2-cloro_3-cloro_8-fluor_14-fluor_16-cloro.log,0.0,0.227,0.227,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.227,387.5,4.9857,628.7729,352.51,-473.8968,265.83,0.176,0.393,0.0642,0.089097267,0.0106,0.030030076,-0.00886,0.009178251
6Heliceno_1-NO2_16-NO2_9-COOH_7-NO2_2-CHO_11-CN.log,0.78,0.42,0.0,0.0,0.0,0.0,0.78,0.0,0.45,0.0,0.66,0.0,0.0,0.0,0.0,0.78,448.87,119.7093,129.2049,358.42,-89.6653,376.31,0.864,1.42,0.0642,0.06597779,0.00722,0.016749183,-0.00573,0.012321626
6Heliceno_1-cloro_3-fluor_9-fluor_14-cloro_15-cloro.log,0.227,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.227,0.227,0.0,387.51,4.9896,628.9106,352.51,-473.8207,265.82,0.176,0.393,0.0641,0.088976173,0.0106,0.030020621,-0.00886,0.009179897
6Heliceno_1-NO2_4-NO2_7-NO2_9-COOH_12-CN_16-CHO.log,0.78,0.0,0.0,0.78,0.0,0.0,0.78,0.0,0.45,0.0,0.0,0.66,0.0,0.0,0.0,0.42,448.25,48.0561,251.4482,372.12,-111.0642,351.79,0.55,1.02,0.0635,0.074087678,0.0151,0.029886726,-0.00415,0.005904857
6Heliceno_1-NO2_4-OH_6-SH_12-NH2_15-OMe_16-Br.log,0.78,0.0,0.0,-0.37,0.0,0.15,0.0,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,-0.27,0.232,555.37,36.9074,279.9873,383.58,-142.9862,316.62,0.482,1.05,0.0635,0.086752785,0.0426,0.05198012,-0.00318,0.007863855
6Heliceno_1-NO2_6-NO2_12-COOH.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,443.37,51.4621,110.5608,352.55,-156.9907,332.18,0.571,1.09,0.0632,0.076632865,0.034,0.039603866,-0.00328,0.012951273
6Heliceno_1-NO2_6-NO2_13-CN.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,437.6,61.7958,121.8462,341.88,-110.7373,315.6,0.625,1.16,0.0632,0.074207484,0.0303,0.037639399,-0.00825,0.012253877
6Heliceno_6-CHO_11-NO2_16-NO2.log,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78,450.98,71.3829,283.0721,353.51,-220.4432,328.44,0.673,1.15,0.0631,0.068416714,0.0301,0.03655211,-0.0091,0.011243624
6Heliceno_3-fluor_6-cloro_9-fluor_15-yodo_16-cloro.log,0.0,0.0,0.06,0.0,0.0,0.227,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.18,0.227,393.7,5.7949,612.7679,360.78,-192.0265,279.45,0.192,0.4,0.0628,0.08319391,0.0177,0.034189658,-0.00456,0.006984171
6Heliceno_1-CHO_4-COOH_10-CN.log,0.42,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,421.96,128.6465,267.2543,342.64,-185.1067,310.01,0.906,1.44,0.0627,0.063371688,0.00669,0.029452564,-0.0103,0.011168091
6Heliceno_1-NO2_10-CHO_13-COOH_16-CHO.log,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.45,0.0,0.0,0.42,453.7,140.3985,56.5236,408.6,-160.6992,321.13,0.948,1.51,0.0625,0.063890139,0.0304,0.052750056,-0.0053,0.009082076
6Heliceno_1-NO2_6-COOH_11-CHO_13-COOH_16-CN.log,0.78,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.42,0.0,0.45,0.0,0.0,0.66,447.38,117.4108,153.9231,378.56,-181.2779,287.48,0.868,1.38,0.0624,0.063682711,0.00659,0.027798806,-0.0164,0.020502515
6Heliceno_1-CHO_4-CHO_5-COOH_7-COOH_14-COOH.log,0.42,0.0,0.0,0.42,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,419.48,75.6036,256.1758,357.05,-244.4526,336.18,0.696,1.22,0.0624,0.070178627,0.00699,0.024824606,-0.00997,0.010409095
6Heliceno_1-NO2_6-COOH_11-CHO_13-COOH_16-CN.log,0.78,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.42,0.0,0.45,0.0,0.0,0.66,447.38,117.4108,153.9231,378.56,-181.2779,287.48,0.868,1.38,0.0624,0.063682711,0.00659,0.027798806,-0.0164,0.020502515
6Heliceno_1-CHO_4-CHO_5-COOH_7-COOH_14-COOH.log,0.42,0.0,0.0,0.42,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,419.48,75.6036,256.1758,357.05,-244.4526,336.18,0.696,1.22,0.0624,0.070178627,0.00699,0.024824606,-0.00997,0.010409095
6Heliceno_1-NO2_6-NO2_11-CHO.log,0.78,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,450.84,74.7788,275.0762,352.25,-129.619,324.61,0.695,1.15,0.06,0.065994038,0.0376,0.038973386,-0.00721,0.014610051
6Heliceno_1-NO2_3-COOH_4-CN_7-CHO_9-CN_10-NO2.log,0.78,0.0,0.45,0.66,0.0,0.0,0.42,0.0,0.66,0.78,0.0,0.0,0.0,0.0,0.0,0.0,477.62,31.1474,166.6243,388.67,-209.2881,364.24,0.448,0.91,0.06,0.081126224,0.00298,0.016864076,-0.00578,0.006490652
